no	pName	teamName	projectWebsite	mentorOrg	shortDesc	longDesc	gLink	email	tags
1	WorkWise Central	Boolean Hooligans	https://tuksui.sharpsoftwaresolutions.net/	sss	"WorkWise Central is a cutting-edge PWA that transforms service-delivery businesses by streamlining operations, optimizing resource use, and enhancing customer satisfaction. It enables businesses to concentrate on service delivery with a comprehensive management solution tailored to their needs."	"WorkWise Central is an all-encompassing management tool designed specifically for service-delivery businesses of any size and structure. It serves as a comprehensive solution that equips companies with the tools needed to efficiently manage every aspect of their operations. The platform includes robust features for managing clients, employees, and job assignments, as well as a real-time inventory management system. With a user-first design, WorkWise Central seamlessly integrates with daily business activities, providing the organizational structure necessary to ensure exceptional service delivery and optimize overall performance."	https://github.com/COS301-SE-2024/WorkWise-Central	booleanhooligans100@gmail.com	"user-friendly, user-first-design, service-oriented, management tool, resource optimization, customer satisfaction, task management, resource management, Progressive Web App (PWA)"
2	Extended Planning Instrument For Unpredictable Spaces and Environments	Janeeb Solutions	JaneebSolutions.co.za	labs	"
Our logistics optimization system harnesses a dynamic algorithms and machine learning model to optimize package placement and efficiency in logistics vehicles. This comprehensive solution addresses the unique needs of goods placement, ensuring enhanced performance, space utilization and optimal time efficiency."	"Our project aims to revolutionize South Africa's logistics sector, which annually moves 1.5 billion tonnes of goods and contributes 10% to the GDP, by tackling inefficiencies in truck space utilization. This comprehensive system features a dynamic packing algorithm for real-time goods placement adjustment, a machine learning model for continuous performance enhancement, a user-friendly manager interface for customized packing solutions, a real-time dashboard for monitoring and decision-making, and a visual simulation tool to demonstrate the algorithm's effectiveness. By optimizing space utilization, the project proposes cost savings, improved profitability, and reduced environmental impact, transforming inefficiency into precision."	https://github.com/COS301-SE-2024/Extended-Planning-Instrument-for-Unpredictable-Spaces-and-Environments	janeeb.solutions@gmail.com	"AI, Genetic-Algorithm, logistics, optimization, space-management, transportation, efficiency, real-time, dynamic-algorithms, cost-saving, user-friendly, dashboard, simulation, scalability, performance, profitability, automation, supply-chain."
3	Dispute Resolution Engine	Techtonic	capstone-dre.dns.net.za	dns	Facilitating & streamlining the dispute resolution process with automated workflows & NLP enhancements.	"Alternate Dispute Resolution (ADR) provides a way for parties to negotiate a dispute without needing to involve the judicial system. Conventional litigation processes are costly and time-consuming and can differ significantly across different companies and domains.  By automating the processes involved, using custom workflow generation and NLP enhancements, the Dispute Resolution Engine aims to drastically increase the speed and cost-effectiveness of ADR."	https://github.com/COS301-SE-2024/Dispute-Resolution-Engine	the.techtonic.team@gmail.com	"AI, machine learning, automation, NLP, dispute resolution, ADR, judicial system, cost-effective, efficiency, custom workflows, legal technology, legal tech, workflow generation, service-oriented, innovative, legal automation, time-saving, user-friendly, process optimization"
4	The Republic 	Infinite Loopers ??	https://infiniteloopers-frontend-app-1db1ddad1f6d.herokuapp.com/   https://infiniteloopers-backend-server-de96040889ec.herokuapp.com 	epi	X meets Eskom Se Push. 	This platform gives user an opportunity to voice out their concerns with governmental services in their community. This web app isn’t only a venting space but it also allows users to visualize the data collected from the different issues posted by others. This gives an overview of the government in the country. 	https://github.com/COS301-SE-2024/The-Republic	Inifiniteloopers@gmail.com	"Progressive Web App (PWA), Data Science, Data Visualization, Data Processing, 3D Visualization, Open Source, Public Service Monitoring"
5	ClassConnect	Phantom Works	www.class-connect.online	labs	"ClassConnect is an innovative educational platform that leverages 3D environments and advanced rendering technologies to transform traditional learning into an immersive, interactive experience. By enabling lecturers to teach with 3D models and annotations in real-time, students can engage with course material from any device, redefining the boundaries of the classroom."	"ClassConnect is a cutting-edge educational platform designed to create immersive learning experiences through a 3D virtual environment. Utilising technologies such as Threlte, the platform allows lecturers to present lessons with interactive 3D models and annotations, enabling students to engage with the material in real-time from any device with a browser. The project addresses the growing need for decentralised and innovative learning methods, transforming the traditional classroom into a dynamic space where education can occur anytime, anywhere. With features like lesson scheduling, 3D model manipulation, and real-time collaboration, ClassConnect aims to enhance the educational experience for both students and educators."	https://github.com/COS301-SE-2024/ClassConnect	phantomworks.capstone@gmail.com	"education, 3D, virtual-environment, interactive-learning, real-time-collaboration, browser-based, decentralised-learning, augmented reality, innovative-teaching, immersive-experience, user-friendly, service-oriented, layered architecture, flux, peer-to-peer, user-first-design, Threlte, SvelteKit, Bun"
6	MyCity	LAN Lords	www.mycity.net.za	labs	"MyCity is a progressive web application connecting citizens, municipalities, and service providers to swiftly report and resolve city infrastructure issues through a seamless ticketing and bidding system."	"MyCity is a progressive web application designed to revolutionize public infrastructure management. It offers a unified platform where citizens can easily report issues, which are then assigned to the appropriate municipality based on location. These issues are converted into tickets that service providers can bid on, promoting competitive pricing and job creation. Municipalities choose the best bid, ensuring efficient resolution of problems. Once the work is completed, tickets are closed, leading to a better-maintained city. MyCity not only streamlines the process but also fosters collaboration between public and private sectors for a more responsive and improved environment."	https://github.com/COS301-SE-2024/MyCity	lanlords.capstone@gmail.com	"Progressive-Web-App, Cloud, User-friendly, Ticketing-system, Infrastructure-management, Location-based, Municipal-services, Public-private-collaboration, Issue-reporting, Efficient-resolution, Offline-capabilities, Community-engagement"
7	Culinary Companion	TeckTonic	https://culinary-companion-capstone.netlify.app	labs	"Culinary Companion is a Progressive Web App (PWA) designed to elevate your cooking experience, offering personalised guidance for novice cooks, dietary-restricted users, and adventurous chefs.The app leverages user preferences and dietary needs to provide tailored recipes and ingredient alternatives."	"Culinary Companion is an innovative Progressive Web App (PWA) that transforms the cooking experience by providing personalised cooking guidance and ingredient substitutions tailored to the needs of diverse user groups. Whether you're a novice cook, someone with dietary restrictions, or an adventurous culinary explorer, Culinary Companion adapts to your preferences and requirements. The app features a user-friendly interface, real-time ingredient recognition, and dynamic recipe suggestions. It integrates with a comprehensive database to offer a wide range of culinary solutions, making cooking accessible, enjoyable, and customised for everyone."	https://github.com/COS301-SE-2024/Culinary-Companion	TeckTonic.Capstone@gmail.com	"Progressive Web App (PWA), personalised cooking guidance, ingredient substitutions, novice cooks, dietary-restricted users, tailored recipes, user preferences, dietary needs, real-time ingredient recognition, dynamic recipe suggestions, user-friendly interface, comprehensive database, culinary solutions, cooking experience, accessible cooking, enjoyable cooking, customised recipes, AI, neural-networks, user-first-design, cooking, automation, LLM-integrations, service-oriented, event-driven, Cross-platform, Accessibility, Preferences, Innovation, Exploration"
8	Smart Parking System (ParkMe)	DaVinci Code	#	epi	"The Smart Parking System, a groundbreaking solution that transforms the parking experience. Our system provides real-time information on available parking bays, ensuring you find a spot quickly and effortlessly through machine learning."	"Finding parking on a daily basis is a significant hassle for drivers. Precious time, fuel, and patience are often wasted in the frustrating search for an available spot. We proudly introduce, The Smart Parking System, a groundbreaking solution that transforms the parking experience. Our system provides real-time information on available parking bays, ensuring you find a spot quickly and effortlessly.  Additionally, users can book parking slots in advance, securing their preferred spots and eliminating the stress of searching for parking. This innovative system enhances convenience and efficiency, making parking a seamless part of your day."	https://github.com/COS301-SE-2024/Smart-Parking-System	davincicode.capstone@gmail.com	"IoT, mobile, web, machine-learning, cloud, user-friendly, real-time, environment-friendly, efficiency, scalability, reliability, accessibility, seamless-integration, smart-city, intuitive-interface"
9	AI Crop Prediction System	GeekGurusUnion	#	epi 	"The AI-Driven Crop Prediction System that applies Machine Learning and AI to analyze weather, soil, and crop data to predict crop health and yield. This system provides farmers with precise predictions, empowering them to make data-driven decisions and enhance their farming practices."	"The AI Crop Prediction System aims to revolutionise the South African farming industry by transforming inefficiency into a well-oiled machine of precision. In essence, Crop Prediction seeks to bridge the gap between the present state of farming and a future where crop yielding can be done in a risk-free manner. Here's how we will achieve this:

Data Collection: Weather, soil quality, crop variety, and historical yield data are collected to feed the AI model.
Machine Learning Model: This AI model analyses the data to predict future crop health and yield with exceptional accuracy.
User-Friendly Interface & Backend: Farmers input farm data and view predictions through a user-friendly interface. A robust backend system and database manage data processing and storage.
Continuously Learning Model: The AI model is trained on historical data and can be updated with new information for ongoing improvement.

The AI Crop Prediction represents a significant leap forward in agricultural technology for South Africa. By harnessing the power of AI, Crop Prediction empowers farmers to make data-driven decisions, minimise risk, and achieve greater efficiency and profitability.
"	https://github.com/COS301-SE-2024/Crop-Prediction-System	ggu.capsonte@gmail.com	"Crop-Prediction, AI, Machine-Learning, Data-Collection"
10	GameOnConnect	Byte Squad	#	epi	GameOnConnect is an all encompassing social media platform for video game enthusiasts to explore new games and connect with one another. It provides insights into your gaming activity and allows interactive opportunities through tournaments and gaming sessions.	"GameOnConnect is your one-stop-shop as a gamer. By downloading GameOnConnect you unlock the ability to discover new games and connect with friends on a whole new level! 
Can’t find friends to play with you? We’ve got you covered. Schedule or join public gaming sessions.
Struggling to find a new game? We can show you many more to try in your favourite genres! 
Want to test your skills ? Schedule tournaments and battle it out! 
Curious about your gaming habits? View your personalized statistics based on your recorded gaming activity."	https://github.com/COS301-SE-2024/GameOnConnect	bytesquad.capstone@gmail.com	"gaming, social media, collaboration, user friendly, interactive, android, competitive, exploration, connect, events, games, messaging, tournaments, leader board, gaming sessions, gaming stats"
11	TailWaggr	The Argonauts	https://tailwaggr.web.app	epi	"Unleash the fun with TailWaggr, the ultimate pet-centric social media app! Share adorable moments, connect with fellow pet lovers, and find trusted vets nearby—all in one pawsome place."	"TailWaggr is a social platform designed to enhance the welfare of pets and the connectivity of their owners. TailWaggr offers a way for pet owners to create profiles for themselves and their beloved pets, fostering a sense of community and companionship within the pet-loving community. With features like Find a Veterinarian and Find a Pet Keeper, users can easily locate trusted professionals to care for their furry companions."	https://github.com/COS301-SE-2024/TailWaggr	argonauts004@gmail.com	"social-media, user-friendly, user-first-design, pets, animal-care, pet-health"
12	CoVAR	Astro	#	bitm	"Integrate findings from multiple vulnerability scanners. COVAR will provide a unified view of an organization's security posture, enabling clients to identify and mitigate potential risks more efficiently."	"The CoVAR project by bitm aims to develop a comprehensive vulnerability assessment and reporting tool designed to consolidate and analyse data from various cybersecurity assessment tools. By integrating findings from multiple vulnerability scanners, COVAR will provide a unified view of an organization's security posture, enabling clients to identify and mitigate potential risks more efficiently. Clients will be able to view their uploaded reports in different formats depending on the user's role. It will also allow a secure vulnerability comparison to peers in the industry."	https://github.com/COS301-SE-2024/CoVAR	astroteam.capstone@gmail.com	"cybersecurity, vulnerability-assessment, reporting-tool, peer-comparison"
